No,Provinsi,Perkotaan Mar'24,perkotaan Sep'24,Perdesaan Mar'24,Perdesaan sep'24,Total Mar'24,Jumlah penduduk miskin
1.,Aceh,"190,55","168,71","613,98","550,25","804,53","718,96"
2.,Sumatera Utara,"697,46","623,78","530,55","487,14","1.228,01","1.110,92"
3.,Sumatera Barat,"139,12","125,69","206,62","189,75","345,73","315,43"
4.,Riau,"200,91","183,28","291,34","289,76","492,25","473,04"
5.,Jambi,"118,39","120,63","147,03","152,08","265,42","272,70"
6.,Sumatera Selatan,"342,34","310,04","641,90","638,81","984,24","948,84"
7.,Bengkulu,"94,67","86,71","186,69","174,44","281,36","261,15"
8.,Lampung,"244,04","239,51","697,19","699,80","941,23","939,30"
9.,"Kepulauan Bangka
Belitung","30,40","37,09","39,55","41,49","69,95","78,58"
10.,Kepulauan Riau,"112,28","102,23","26,03","22,72","138,30","124,96"
11.,DKI Jakarta,"464,93","449,07",–,–,"464,93","449,07"
12.,Jawa Barat,"2.921,52","2.780,46","927,15","887,89","3.848,67","3.668,35"
13.,Jawa Tengah,"1.835,51","1.683,75","1.868,82","1.712,59","3.704,33","3.396,34"
14.,DI Yogyakarta,"319,40","316,81","126,15","113,66","445,55","430,47"
15.,Jawa Timur,"1.642,69","1.589,12","2.339,99","2.304,70","3.982,69","3.893,82"
16.,Banten,"615,07","606,52","176,54","170,98","791,61","777,49"
17.,Bali,"119,31","112,93","65,12","63,29","184,43","176,21"
18.,Nusa Tenggara Barat,"368,54","338,74","340,47","319,86","709,01","658,60"
19.,Nusa Tenggara Timur,"131,61","126,91","995,96","981,02","1.127,57","1.107,94"
20.,Kalimantan Barat,"85,94","94,82","250,14","239,17","336,08","333,99"
21.,Kalimantan Tengah,"60,17","65,34","85,46","83,90","145,63","149,24"
22.,Kalimantan Selatan,"80,92","81,22","102,39","98,98","183,31","180,20"
23.,Kalimantan Timur,"118,44","118,19","102,90","93,69","221,34","211,88"
24.,Kalimantan Utara,"23,18","25,06","24,65","16,05","47,83","41,11"
25.,Sulawesi Utara,"67,89","59,45","118,97","113,85","186,85","173,30"
26.,Sulawesi Tengah,"91,92","79,85","287,84","278,48","379,76","358,33"
27.,Sulawesi Selatan,"219,65","228,59","516,83","483,17","736,48","711,77"
28.,Sulawesi Tenggara,"82,61","75,77","237,10","229,50","319,71","305,27"
29.,Gorontalo,"25,46","28,49","152,53","141,54","177,99","170,03"
30.,Sulawesi Barat,"27,24","24,55","134,95","131,36","162,19","155,91"
31.,Maluku,"41,47","38,83","256,21","255,16","297,68","293,99"
32.,Maluku Utara,"23,41","24,21","59,68","55,48","83,09","79,69"
33.,Papua Barat,"12,82","15,18","97,34","93,11","110,16","108,28"
34.,Papua Barat Daya,"24,04","22,96","78,23","73,85","102,27","96,81"
35.,Papua,"33,68","31,85","119,24","129,21","152,91","161,07"
36.,Papua Selatan,"5,97","7,14","86,23","95,88","92,20","103,02"
37.,Papua Tengah,"10,92","13,47","297,56","274,06","308,48","287,54"
38.,Papua Pegunungan,"12,92","9,64","352,51","321,48","365,43","331,12"
